Method;Query;n;Disk Accesses;Query Time;Construction Time
CP;0;10;4;8000;2115000
CP;1;10;6;10000;2115000
CP;2;10;3;3000;2115000
CP;3;10;8;11000;2115000
CP;4;10;6;7000;2115000
CP;5;10;5;6000;2115000
CP;6;10;2;3000;2115000
CP;7;10;2;3000;2115000
CP;8;10;3;4000;2115000
CP;9;10;7;16000;2115000
CP;10;10;4;6000;2115000
CP;11;10;4;6000;2115000
CP;12;10;7;33000;2115000
CP;13;10;4;7000;2115000
CP;14;10;5;7000;2115000
CP;15;10;8;12000;2115000
CP;16;10;2;2000;2115000
CP;17;10;7;10000;2115000
CP;18;10;4;5000;2115000
CP;19;10;7;10000;2115000
CP;20;10;3;5000;2115000
CP;21;10;6;8000;2115000
CP;22;10;5;5000;2115000
CP;23;10;7;11000;2115000
CP;24;10;3;4000;2115000
CP;25;10;6;8000;2115000
CP;26;10;5;6000;2115000
CP;27;10;7;9000;2115000
CP;28;10;8;10000;2115000
CP;29;10;3;4000;2115000
CP;30;10;9;13000;2115000
CP;31;10;3;4000;2115000
CP;32;10;7;9000;2115000
CP;33;10;5;6000;2115000
CP;34;10;5;6000;2115000
CP;35;10;7;8000;2115000
CP;36;10;4;5000;2115000
CP;37;10;4;6000;2115000
CP;38;10;3;4000;2115000
CP;39;10;3;4000;2115000
CP;40;10;6;8000;2115000
CP;41;10;5;6000;2115000
CP;42;10;5;6000;2115000
CP;43;10;6;8000;2115000
CP;44;10;7;9000;2115000
CP;45;10;3;4000;2115000
CP;46;10;5;7000;2115000
CP;47;10;3;4000;2115000
CP;48;10;3;4000;2115000
CP;49;10;8;10000;2115000
CP;50;10;5;6000;2115000
CP;51;10;5;7000;2115000
CP;52;10;7;9000;2115000
CP;53;10;5;6000;2115000
CP;54;10;3;4000;2115000
CP;55;10;4;5000;2115000
CP;56;10;7;9000;2115000
CP;57;10;7;9000;2115000
CP;58;10;6;8000;2115000
CP;59;10;4;6000;2115000
CP;60;10;5;6000;2115000
CP;61;10;4;5000;2115000
CP;62;10;3;4000;2115000
CP;63;10;7;8000;2115000
CP;64;10;7;8000;2115000
CP;65;10;5;6000;2115000
CP;66;10;6;8000;2115000
CP;67;10;5;7000;2115000
CP;68;10;8;12000;2115000
CP;69;10;5;6000;2115000
CP;70;10;7;9000;2115000
CP;71;10;4;6000;2115000
CP;72;10;3;16000;2115000
CP;73;10;3;4000;2115000
CP;74;10;5;6000;2115000
CP;75;10;5;7000;2115000
CP;76;10;8;11000;2115000
CP;77;10;8;11000;2115000
CP;78;10;5;6000;2115000
CP;79;10;3;3000;2115000
CP;80;10;4;6000;2115000
CP;81;10;5;6000;2115000
CP;82;10;4;6000;2115000
CP;83;10;6;8000;2115000
CP;84;10;5;7000;2115000
CP;85;10;6;7000;2115000
CP;86;10;6;8000;2115000
CP;87;10;2;2000;2115000
CP;88;10;9;11000;2115000
CP;89;10;5;7000;2115000
CP;90;10;5;7000;2115000
CP;91;10;6;7000;2115000
CP;92;10;5;7000;2115000
CP;93;10;2;3000;2115000
CP;94;10;2;2000;2115000
CP;95;10;3;4000;2115000
CP;96;10;4;6000;2115000
CP;97;10;7;9000;2115000
CP;98;10;3;4000;2115000
CP;99;10;5;6000;2115000
SS;0;10;3;6000;1050088000
SS;1;10;5;9000;1050088000
SS;2;10;3;4000;1050088000
SS;3;10;3;4000;1050088000
SS;4;10;3;4000;1050088000
SS;5;10;2;2000;1050088000
SS;6;10;2;2000;1050088000
SS;7;10;3;4000;1050088000
SS;8;10;2;2000;1050088000
SS;9;10;2;3000;1050088000
SS;10;10;3;4000;1050088000
SS;11;10;2;3000;1050088000
SS;12;10;3;4000;1050088000
SS;13;10;2;2000;1050088000
SS;14;10;2;3000;1050088000
SS;15;10;4;7000;1050088000
SS;16;10;2;2000;1050088000
SS;17;10;4;6000;1050088000
SS;18;10;2;2000;1050088000
SS;19;10;2;3000;1050088000
SS;20;10;4;6000;1050088000
SS;21;10;3;7000;1050088000
SS;22;10;3;4000;1050088000
SS;23;10;2;3000;1050088000
SS;24;10;2;2000;1050088000
SS;25;10;3;4000;1050088000
SS;26;10;2;2000;1050088000
SS;27;10;3;4000;1050088000
SS;28;10;3;4000;1050088000
SS;29;10;2;3000;1050088000
SS;30;10;3;5000;1050088000
SS;31;10;3;4000;1050088000
SS;32;10;4;8000;1050088000
SS;33;10;3;7000;1050088000
SS;34;10;2;4000;1050088000
SS;35;10;3;7000;1050088000
SS;36;10;2;4000;1050088000
SS;37;10;3;7000;1050088000
SS;38;10;4;6000;1050088000
SS;39;10;4;11000;1050088000
SS;40;10;3;5000;1050088000
SS;41;10;3;4000;1050088000
SS;42;10;3;4000;1050088000
SS;43;10;4;6000;1050088000
SS;44;10;4;6000;1050088000
SS;45;10;2;2000;1050088000
SS;46;10;4;6000;1050088000
SS;47;10;3;4000;1050088000
SS;48;10;3;4000;1050088000
SS;49;10;2;2000;1050088000
SS;50;10;3;5000;1050088000
SS;51;10;4;6000;1050088000
SS;52;10;3;4000;1050088000
SS;53;10;5;7000;1050088000
SS;54;10;3;5000;1050088000
SS;55;10;3;4000;1050088000
SS;56;10;3;4000;1050088000
SS;57;10;2;2000;1050088000
SS;58;10;3;4000;1050088000
SS;59;10;3;4000;1050088000
SS;60;10;4;6000;1050088000
SS;61;10;2;4000;1050088000
SS;62;10;2;2000;1050088000
SS;63;10;2;2000;1050088000
SS;64;10;2;3000;1050088000
SS;65;10;4;6000;1050088000
SS;66;10;3;4000;1050088000
SS;67;10;3;4000;1050088000
SS;68;10;4;6000;1050088000
SS;69;10;2;2000;1050088000
SS;70;10;2;3000;1050088000
SS;71;10;4;5000;1050088000
SS;72;10;2;2000;1050088000
SS;73;10;3;5000;1050088000
SS;74;10;3;5000;1050088000
SS;75;10;5;7000;1050088000
SS;76;10;3;7000;1050088000
SS;77;10;3;4000;1050088000
SS;78;10;3;4000;1050088000
SS;79;10;3;4000;1050088000
SS;80;10;2;3000;1050088000
SS;81;10;2;3000;1050088000
SS;82;10;3;4000;1050088000
SS;83;10;4;6000;1050088000
SS;84;10;3;4000;1050088000
SS;85;10;2;2000;1050088000
SS;86;10;3;5000;1050088000
SS;87;10;3;4000;1050088000
SS;88;10;2;2000;1050088000
SS;89;10;4;6000;1050088000
SS;90;10;4;5000;1050088000
SS;91;10;4;6000;1050088000
SS;92;10;3;4000;1050088000
SS;93;10;3;4000;1050088000
SS;94;10;2;1000;1050088000
SS;95;10;3;5000;1050088000
SS;96;10;2;3000;1050088000
SS;97;10;3;4000;1050088000
SS;98;10;2;3000;1050088000
SS;99;10;2;2000;1050088000
CP;0;11;4;8000;2130000
CP;1;11;6;9000;2130000
CP;2;11;4;7000;2130000
CP;3;11;7;10000;2130000
CP;4;11;4;11000;2130000
CP;5;11;3;4000;2130000
CP;6;11;2;2000;2130000
CP;7;11;3;4000;2130000
CP;8;11;2;3000;2130000
CP;9;11;4;5000;2130000
CP;10;11;3;5000;2130000
CP;11;11;3;4000;2130000
CP;12;11;4;5000;2130000
CP;13;11;2;4000;2130000
CP;14;11;3;5000;2130000
CP;15;11;5;8000;2130000
CP;16;11;2;3000;2130000
CP;17;11;4;6000;2130000
CP;18;11;2;2000;2130000
CP;19;11;2;3000;2130000
CP;20;11;3;5000;2130000
CP;21;11;6;10000;2130000
CP;22;11;4;6000;2130000
CP;23;11;6;9000;2130000
CP;24;11;2;4000;2130000
