Method;Query;n;Disk Accesses;Query Time;Construction Time
SS;0;15;10;28000;489264326000
SS;1;15;10;22000;489264326000
SS;2;15;10;25000;489264326000
SS;3;15;10;20000;489264326000
SS;4;15;11;35000;489264326000
SS;5;15;10;20000;489264326000
SS;6;15;6;19000;489264326000
SS;7;15;6;17000;489264326000
SS;8;15;7;19000;489264326000
SS;9;15;7;14000;489264326000
SS;10;15;7;14000;489264326000
SS;11;15;7;14000;489264326000
SS;12;15;11;24000;489264326000
SS;13;15;7;13000;489264326000
SS;14;15;11;25000;489264326000
SS;15;15;12;22000;489264326000
SS;16;15;5;13000;489264326000
SS;17;15;9;22000;489264326000
SS;18;15;7;13000;489264326000
SS;19;15;10;18000;489264326000
SS;20;15;9;18000;489264326000
SS;21;15;10;23000;489264326000
SS;22;15;9;16000;489264326000
SS;23;15;11;21000;489264326000
SS;24;15;6;10000;489264326000
SS;25;15;10;19000;489264326000
SS;26;15;11;20000;489264326000
SS;27;15;9;23000;489264326000
SS;28;15;11;27000;489264326000
SS;29;15;8;20000;489264326000
SS;30;15;10;19000;489264326000
SS;31;15;8;14000;489264326000
SS;32;15;11;20000;489264326000
SS;33;15;13;29000;489264326000
SS;34;15;5;10000;489264326000
SS;35;15;7;13000;489264326000
SS;36;15;6;11000;489264326000
SS;37;15;8;14000;489264326000
SS;38;15;9;16000;489264326000
SS;39;15;9;16000;489264326000
SS;40;15;10;19000;489264326000
SS;41;15;9;18000;489264326000
SS;42;15;9;24000;489264326000
SS;43;15;11;18000;489264326000
SS;44;15;9;17000;489264326000
SS;45;15;8;14000;489264326000
SS;46;15;11;21000;489264326000
SS;47;15;7;28000;489264326000
SS;48;15;10;18000;489264326000
SS;49;15;11;20000;489264326000
SS;50;15;12;22000;489264326000
SS;51;15;10;23000;489264326000
SS;52;15;11;25000;489264326000
SS;53;15;10;27000;489264326000
SS;54;15;9;17000;489264326000
SS;55;15;9;19000;489264326000
SS;56;15;10;18000;489264326000
SS;57;15;9;18000;489264326000
SS;58;15;11;27000;489264326000
SS;59;15;9;17000;489264326000
SS;60;15;10;19000;489264326000
SS;61;15;10;17000;489264326000
SS;62;15;5;13000;489264326000
SS;63;15;10;18000;489264326000
SS;64;15;10;17000;489264326000
SS;65;15;9;16000;489264326000
SS;66;15;10;17000;489264326000
SS;67;15;9;16000;489264326000
SS;68;15;10;18000;489264326000
SS;69;15;10;19000;489264326000
SS;70;15;12;20000;489264326000
SS;71;15;10;18000;489264326000
SS;72;15;5;13000;489264326000
SS;73;15;8;19000;489264326000
SS;74;15;7;13000;489264326000
SS;75;15;12;29000;489264326000
